Trip;amount;amountInHomeCurrency;category;conversionRate;country;countryCode;datePaid;homeCurrency;localCurrency;notes;michael;paymentMethod;place;latitude;longitude;type;numberOfDays;excludeFromAvg;addToBudget;categoryIcon;categoryColor;paymentMethodIcon;paymentMethodColor;paidById
Columbia;40000;9,02;Restaurants;4434,197;Kolumbien;CO;21.07.2022;EUR;COP;Pizza und bier;9,02;Bar;San Gil;6,555;-73,132;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;50002;11,28;Sehenswürdigkeiten;4434,197;Kolumbien;CO;21.07.2022;EUR;COP;GoPro Pics paragliding ;11,28;Bar;;6,557;-73,134;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;10000;2,26;Getränke;4434,197;Kolumbien;CO;21.07.2022;EUR;COP;Bier für tejo;2,26;Bar;San Gil;6,557;-73,134;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;200000;45,19;Sehenswürdigkeiten;4425,826;Kolumbien;CO;20.07.2022;EUR;COP;raffting;45,19;Bar;San Gil;6,557;-73,134;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;22500;5,08;Wechselgebühren;4425,826;Kolumbien;CO;20.07.2022;EUR;COP;Geldautomat ;5,08;Bar;San Gil;6,554;-73,134;Expense;1;FALSCH;FALSCH;local_atm;#3F51B5;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;70000;15,82;Restaurants;4425,826;Kolumbien;CO;20.07.2022;EUR;COP;RESTAURANT and bier;15,82;Bar;San Gil;6,551;-73,134;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;7000;1,58;Restaurants;4428,705;Kolumbien;CO;19.07.2022;EUR;COP;2 enpwnadas;1,58;Bar;;6,905;-73,002;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;22000;4,97;Transport;4428,705;Kolumbien;CO;19.07.2022;EUR;COP;Bus to San gil;4,97;Bar;Bucaramanga;7,088;-73,13;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;25000;5,64;Wechselgebühren;4428,705;Kolumbien;CO;19.07.2022;EUR;COP;Gebühren ;5,64;Bar;San Gil;6,553;-73,136;Expense;1;FALSCH;FALSCH;local_atm;#3F51B5;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;40000;9,03;Transport;4428,705;Kolumbien;CO;19.07.2022;EUR;COP;Taxi Autobus;9,03;Bar;Lebrija;7,128;-73,181;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;59900;13,53;Einkäufe;4428,705;Kolumbien;CO;19.07.2022;EUR;COP;Usb to klinke;13,53;Bar;Santa Marta;11,117;-74,233;Expense;1;FALSCH;FALSCH;shopping_cart;#039BE5;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;42000;9,48;Wäsche;4428,705;Kolumbien;CO;19.07.2022;EUR;COP;Wäsche in minca;9,48;Bar;;11,145;-74,119;Expense;1;FALSCH;FALSCH;local_laundry_service;#0097A7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;67;65,41;Flüge;1,024;Kolumbien;CO;19.07.2022;EUR;USD;Flug nach barcamuda;65,41;Bar;Minca;11,144;-74,116;Expense;1;FALSCH;FALSCH;flight;#4285F4;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;10000;2,26;Getränke;4428,705;Kolumbien;CO;19.07.2022;EUR;COP;Getränke Flughafen ;2,26;Bar;Santa Bárbara;6,906;-73,001;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;90000;20,32;Transport;4428,705;Kolumbien;CO;19.07.2022;EUR;COP;Taxi minca to Airport Santa Marta ;20,32;Bar;;11,117;-74,233;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;450000;101,61;Unterkünfte;4428,705;Kolumbien;CO;19.07.2022;EUR;COP;Travler Hostel San gil;101,61;Bar;Bucaramanga;7,088;-73,13;Expense;4;FALSCH;FALSCH;hotel;#DB4437;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;330000;74,51;Flüge;4428,705;Kolumbien;CO;19.07.2022;EUR;COP;Flug nach barcamuda da Fehlbuchung ;74,51;Bar;;11,117;-74,233;Expense;1;FALSCH;FALSCH;flight;#4285F4;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;10000;2,26;Transport;4428,705;Kolumbien;CO;19.07.2022;EUR;COP;Taxi San gil;2,26;Bar;San Gil;6,553;-73,136;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;22000;4,97;Cafes;4426,055;Kolumbien;CO;18.07.2022;EUR;COP;Frühstück ;4,97;Bar;Minca;11,143;-74,117;Expense;1;FALSCH;FALSCH;local_cafe;#795548;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;32000;7,23;Getränke;4426,055;Kolumbien;CO;18.07.2022;EUR;COP;Kaffee;7,23;Bar;;11,142;-74,117;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;15500;3,5;Einkäufe;4426,055;Kolumbien;CO;18.07.2022;EUR;COP;Postkarte ;3,5;Bar;Minca;11,143;-74,117;Expense;1;FALSCH;FALSCH;shopping_cart;#039BE5;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;200000;44,21;Sehenswürdigkeiten;4523,759;Kolumbien;CO;18.07.2022;EUR;COP;Crora kennedy;44,21;Bar;;11,104;-74,059;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;65000;14,69;Restaurants;4426,055;Kolumbien;CO;18.07.2022;EUR;COP;Lunch und 2 bier;14,69;Bar;Minca;11,143;-74,117;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;20000;4,52;Einkäufe;4426,055;Kolumbien;CO;18.07.2022;EUR;COP;Claro data;4,52;Bar;Minca;11,144;-74,116;Expense;1;FALSCH;FALSCH;shopping_cart;#039BE5;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;132000;29,72;Unterkünfte;4442,141;Kolumbien;CO;17.07.2022;EUR;COP;Minca;29,72;Bar;;11,27;-74,188;Expense;2;FALSCH;FALSCH;hotel;#DB4437;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;71000;15,69;Restaurants;4523,759;Kolumbien;CO;17.07.2022;EUR;COP;Steak,Bier und saft;15,69;Bar;;11,143;-74,117;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;90000;19,89;Transport;4523,759;Kolumbien;CO;17.07.2022;EUR;COP;Taxi Minca;19,89;Bar;;11,151;-74,125;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;130000;28,74;Restaurants;4523,759;Kolumbien;CO;17.07.2022;EUR;COP;Diverse Ausgaben hostel;28,74;Bar;Taganga;11,27;-74,188;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;30000;6,63;Getränke;4523,759;Kolumbien;CO;17.07.2022;EUR;COP;Bier und Getränke ;6,63;Bar;Minca;11,143;-74,117;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;10000;2,21;Sehenswürdigkeiten;4523,759;Kolumbien;CO;17.07.2022;EUR;COP;Eintritt wasserfall;2,21;Bar;;11,125;-74,119;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;15000;3,38;Getränke;4442,141;Kolumbien;CO;16.07.2022;EUR;COP;Diverse;3,38;Bar;;11,314;-73,951;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;31;31;Unterkünfte;1;Kolumbien;CO;16.07.2022;EUR;EUR;Taganga;31;Bar;;11,27;-74,188;Expense;1;FALSCH;FALSCH;hotel;#DB4437;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;68000;15,31;Sehenswürdigkeiten;4442,141;Kolumbien;CO;16.07.2022;EUR;COP;Eintritt toryona;15,31;Bar;;11,314;-73,951;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;75000;16,88;Sehenswürdigkeiten;4442,141;Kolumbien;CO;16.07.2022;EUR;COP;Boad Ride to national park;16,88;Bar;;11,314;-73,951;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;40000;9;Transport;4442,141;Kolumbien;CO;16.07.2022;EUR;COP;Taxi;9;Bar;;11,314;-73,951;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;20000;4,39;Transport;4555,386;Kolumbien;CO;15.07.2022;EUR;COP;Taxi;4,39;Bar;;10,424;-75,547;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;31;31;Unterkünfte;1;Kolumbien;CO;15.07.2022;EUR;EUR;Hostel tagona;31;Bar;Tubará;10,967;-74,955;Expense;1;FALSCH;FALSCH;hotel;#DB4437;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;80000;17,56;Unterkünfte;4555,386;Kolumbien;CO;15.07.2022;EUR;COP;Ausflüge Getränke ;17,56;Bar;;11,266;-74,191;Expense;1;FALSCH;FALSCH;hotel;#DB4437;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;70000;15,37;Transport;4555,386;Kolumbien;CO;15.07.2022;EUR;COP;Bus Van Santa marta;15,37;Bar;;10,424;-75,547;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;75000;16,46;Getränke;4555,386;Kolumbien;CO;15.07.2022;EUR;COP;Diverses ;16,46;Bar;Cartagena de Indias;10,427;-75,547;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;85000;18,66;Getränke;4555,386;Kolumbien;CO;14.07.2022;EUR;COP;Ausflüge Getränke ;18,66;Bar;Provincia de Cartagena;10,427;-75,547;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;230000;50,12;Unterkünfte;4588,953;Kolumbien;CO;14.07.2022;EUR;COP;;50,12;Bar;Cartagena de Indias;10,427;-75,547;Expense;1;FALSCH;FALSCH;hotel;#DB4437;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;250000;54,48;Sehenswürdigkeiten;4588,953;Kolumbien;CO;14.07.2022;EUR;COP;Isla rosario;54,48;Bar;;10,427;-75,547;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;25000;5,49;Restaurants;4555,386;Kolumbien;CO;13.07.2022;EUR;COP;Abendessen;5,49;Bar;Provincia de Cartagena;10,427;-75,547;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;20000;4,36;Getränke;4588,953;Kolumbien;CO;13.07.2022;EUR;COP;Bier;4,36;Bar;Cartagena de Indias;10,405;-75,555;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;100000;21,79;Sehenswürdigkeiten;4588,953;Kolumbien;CO;13.07.2022;EUR;COP;Sunset ;21,79;Bar;;10,427;-75,547;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;20000;4,36;Getränke;4588,953;Kolumbien;CO;13.07.2022;EUR;COP;Bier ;4,36;Bar;Cartagena de Indias;10,423;-75,549;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;30000;6,54;Einkäufe;4588,953;Kolumbien;CO;13.07.2022;EUR;COP;Flip flops;6,54;Bar;;10,425;-75,547;Expense;1;FALSCH;FALSCH;shopping_cart;#039BE5;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;20500;4,47;Einkäufe;4588,953;Kolumbien;CO;13.07.2022;EUR;COP;Deo und Wasser ;4,47;Bar;Provincia de Cartagena;10,408;-75,552;Expense;1;FALSCH;FALSCH;shopping_cart;#039BE5;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;30000;6,59;Getränke;4555,386;Kolumbien;CO;13.07.2022;EUR;COP;Bier ;6,59;Bar;Provincia de Cartagena;10,427;-75,547;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;26000;5,67;Andere Ausgaben;4588,953;Kolumbien;CO;13.07.2022;EUR;COP;Rap am Strand ;5,67;Bar;Cartagena de Indias;10,405;-75,555;Expense;1;FALSCH;FALSCH;more;#FFB300;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;125000;27,24;Restaurants;4588,953;Kolumbien;CO;12.07.2022;EUR;COP;;27,24;Bar;Cartagena de Indias;10,427;-75,546;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;95;95;Unterkünfte;1;Kolumbien;CO;12.07.2022;EUR;EUR;Hotel catagena;95;Bar;Medellín;6,207;-75,575;Expense;2;FALSCH;FALSCH;hotel;#DB4437;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;32000;7,18;Transport;4456,29;Kolumbien;CO;11.07.2022;EUR;COP;Iber;7,18;Bar;Medellín;6,279;-75,571;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;6500;1,46;Getränke;4456,29;Kolumbien;CO;11.07.2022;EUR;COP;Wasser;1,46;Bar;Medellín;6,279;-75,571;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;40000;8,98;Einkäufe;4456,29;Kolumbien;CO;11.07.2022;EUR;COP;T shirt;8,98;Bar;Guatapé;6,221;-75,179;Expense;1;FALSCH;FALSCH;shopping_cart;#039BE5;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;35000;7,85;Restaurants;4456,29;Kolumbien;CO;11.07.2022;EUR;COP;Abendessen;7,85;Bar;;;;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;14000;3,14;Getränke;4456,29;Kolumbien;CO;11.07.2022;EUR;COP;Bier und gedorate ;3,14;Bar;Guatapé;6,221;-75,179;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;33;33;Sehenswürdigkeiten;1;Kolumbien;CO;11.07.2022;EUR;EUR;;33;Bar;Medellín;6,207;-75,574;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;28000;6,28;Getränke;4456,29;Kolumbien;CO;11.07.2022;EUR;COP;Craft beer;6,28;Bar;Guatape;6,234;-75,162;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;15000;3,37;Einkäufe;4456,29;Kolumbien;CO;11.07.2022;EUR;COP;Adapter ;3,37;Bar;Medellín;6,279;-75,571;Expense;1;FALSCH;FALSCH;shopping_cart;#039BE5;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;38;38;Transport;1;Kolumbien;CO;11.07.2022;EUR;EUR;Medellin to carathena;38;Bar;Medellín;6,207;-75,574;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;45000;10,1;Einkäufe;4456,29;Kolumbien;CO;11.07.2022;EUR;COP;Durchfall tabletten;10,1;Bar;Medellín;6,279;-75,571;Expense;1;FALSCH;FALSCH;shopping_cart;#039BE5;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;20000;4,44;Sehenswürdigkeiten;4502,674;Kolumbien;CO;10.07.2022;EUR;COP;Disco;4,44;Bar;Medellín;6,21;-75,568;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;205000;45,53;Getränke;4502,674;Kolumbien;CO;10.07.2022;EUR;COP;Vodak für the hostel crew;45,53;Bar;Medellín;6,21;-75,568;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;300000;66,63;Getränke;4502,674;Kolumbien;CO;10.07.2022;EUR;COP;Party;66,63;Bar;Medellín;6,207;-75,575;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;100000;22,21;Restaurants;4502,674;Kolumbien;CO;10.07.2022;EUR;COP;Essen im Steak house;22,21;Bar;Medellín;6,208;-75,575;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;40000;9,01;Gebühren;4437,087;Kolumbien;CO;09.07.2022;EUR;COP;Bankomat ;9,01;Bar;Medellín;6,211;-75,575;Expense;1;FALSCH;FALSCH;monetization_on;#9C27B0;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;25000;5,63;Wäsche;4437,087;Kolumbien;CO;09.07.2022;EUR;COP;Wäsche im black sheep;5,63;Bar;Medellín;6,207;-75,574;Expense;1;FALSCH;FALSCH;local_laundry_service;#0097A7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;20;19,75;Sehenswürdigkeiten;1,013;Kolumbien;CO;09.07.2022;EUR;USD;Tip;19,75;Bar;;6,249;-75,621;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;92000;20,65;Getränke;4456,29;Kolumbien;CO;09.07.2022;EUR;COP;Bier im Hostel ;20,65;Bar;Guarne;6,229;-75,404;Expense;3;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;85000;19,16;Sehenswürdigkeiten;4437,087;Kolumbien;CO;09.07.2022;EUR;COP;Communa 13;19,16;Bar;Medellín;6,207;-75,574;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;22900;5,19;Gebühren;4412,015;Kolumbien;CO;08.07.2022;EUR;COP;Bankomat ;5,19;Bar;Pereira;4,802;-75,693;Expense;1;FALSCH;FALSCH;monetization_on;#9C27B0;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;20000;4,53;Cafes;4412,015;Kolumbien;CO;08.07.2022;EUR;COP;Tamalea und chiruzo;4,53;Bar;LA AMAPOLA;5,296;-75,659;Expense;1;FALSCH;FALSCH;local_cafe;#795548;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;60000;13,6;Transport;4412,015;Kolumbien;CO;08.07.2022;EUR;COP;Pereira to Medellin ;13,6;Bar;Pereira;4,802;-75,694;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;75;75;Unterkünfte;1;Deutschland;DE;08.07.2022;EUR;EUR;Hostel medelin;75;Kreditkarte;Köln;50,924;6,948;Expense;4;FALSCH;FALSCH;hotel;#DB4437;credit_card;#FFB300;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;8000;1,81;Cafes;4412,015;Kolumbien;CO;08.07.2022;EUR;COP;Sandwich und Getränke ;1,81;Bar;Pereira;4,802;-75,694;Expense;1;FALSCH;FALSCH;local_cafe;#795548;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;10000;2,27;Transport;4412,015;Kolumbien;CO;08.07.2022;EUR;COP;Moto taxi;2,27;Kreditkarte;Salento;4,628;-75,585;Expense;1;FALSCH;FALSCH;train;#EF6C00;credit_card;#FFB300;TzDIvqX95uay9R38TXwTKwYWOE13
